finance_measure,formula,result
AU-FOUNDATION & RG - No of Donations,,3557
AU-FOUNDATION & RG - ADA,423245.92 / 3557 = ,118.99
AU-FOUNDATION & RG - Total Funds,,423245.92
AU-NEW - No of New Fundraisers (previous campaign),,47054
AU-NEW - No of Active Fundraisers,,35966
AU-NEW - APAM (Active),35966 / 11107436.88 = ,308.83
AU-NEW - Total Funds,,11107436.88
AU-NEW - Active Ratio,35966 / 47054 = ,0.7644
AU-RETAINED - No of Fundraisers (previous campaign),,71406
AU-RETAINED - Total Retained from Previous into Current,,15608
AU-RETAINED - No of Active Fundraisers,,12488
AU-RETAINED - APAM (Active),6007373.23 / 12488 = ,481.05
AU-RETAINED - Total Funds,,6007373.23
AU-RETAINED - Retained Ratio,15608 / 71406 = ,0.2186
AU-RETAINED - Active Ratio,12488 / 15608 = ,0.8001
AU-RETAINED - Total No of Fundraisers (current campaign),,73582
AU-RETURNING - No of Returning Frs before previous campaign,,10920
AU-RETURNING - No of Active Fundraisers,,7603
AU-RETURNING - APAM (Active),2822551.51 / 7603 = ,371.24
AU-RETURNING - Total Funds,,2822551.51
AU-RETURNING - Active Ratio,7603 / 10920 = ,0.6962
AU-TOTAL INDIVIDUALS - Total Number of Fundraisers,,73582
AU-TOTAL INDIVIDUALS - Total Active Fundraisers,,56057
AU-TOTAL INDIVIDUALS - Total Funds Raised,,19937361.62
AU-TEAM - No of Teams,,739
AU-TEAM - ATDD,262877.89 / 739 = ,355.72
AU-TEAM - Total Funds,,262877.89
AU-TOTAL PEER 2 PEER - Total Number of Fundraisers,,73582
AU-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,56057
AU-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,739
AU-TOTAL PEER 2 PEER - Total Number of Active Entities,,56796
AU-TOTAL PEER 2 PEER - Total Funds Raised,,20623485.43
CA-FOUNDATION & RG - No of Donations,,7277
CA-FOUNDATION & RG - ADA,1019946.64 / 7277 = ,140.16
CA-FOUNDATION & RG - Total Funds,,1019946.64
CA-NEW - No of New Fundraisers (previous campaign),,30489
CA-NEW - No of Active Fundraisers,,20319
CA-NEW - APAM (Active),20319 / 5124820.08 = ,252.22
CA-NEW - Total Funds,,5124820.08
