finance_measure,formula,result
AU-FOUNDATION & RG - No of Donations,,6260
AU-FOUNDATION & RG - ADA,1018857.73 / 6260 = ,162.76
AU-FOUNDATION & RG - Total Funds,,1018857.73
AU-NEW - No of New Fundraisers (previous campaign),,54342
AU-NEW - No of Active Fundraisers,,30903
AU-NEW - APAM (Active),30903 / 11916872.22 = ,385.62
AU-NEW - Total Funds,,11916872.22
AU-NEW - Active Ratio,30903 / 54342 = ,0.5687
AU-RETAINED - No of Fundraisers (previous campaign),,101398
AU-RETAINED - Total Retained from Previous into Current,,19722
AU-RETAINED - No of Active Fundraisers,,13506
AU-RETAINED - APAM (Active),6776731.68 / 13506 = ,501.76
AU-RETAINED - Total Funds,,6776731.68
AU-RETAINED - Retained Ratio,19722 / 101398 = ,0.1945
AU-RETAINED - Active Ratio,13506 / 19722 = ,0.6848
AU-RETAINED - Total No of Fundraisers (current campaign),,84489
AU-RETURNING - No of Returning Frs before previous campaign,,10425
AU-RETURNING - No of Active Fundraisers,,6609
AU-RETURNING - APAM (Active),2727412.2 / 6609 = ,412.68
AU-RETURNING - Total Funds,,2727412.2
AU-RETURNING - Active Ratio,6609 / 10425 = ,0.634
AU-TOTAL INDIVIDUALS - Total Number of Fundraisers,,84489
AU-TOTAL INDIVIDUALS - Total Active Fundraisers,,51018
AU-TOTAL INDIVIDUALS - Total Funds Raised,,21421016.1
AU-TEAM - No of Teams,,6464
AU-TEAM - ATDD,4767003.89 / 6464 = ,737.47
AU-TEAM - Total Funds,,4767003.89
AU-TOTAL PEER 2 PEER - Total Number of Fundraisers,,84489
AU-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,51018
AU-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,6464
AU-TOTAL PEER 2 PEER - Total Number of Active Entities,,57482
AU-TOTAL PEER 2 PEER - Total Funds Raised,,27206877.72
CA-FOUNDATION & RG - No of Donations,,8341
CA-FOUNDATION & RG - ADA,1439224.41 / 8341 = ,172.55
CA-FOUNDATION & RG - Total Funds,,1439224.41
CA-NEW - No of New Fundraisers (previous campaign),,40710
CA-NEW - No of Active Fundraisers,,20599
CA-NEW - APAM (Active),20599 / 7524427.83 = ,365.28
CA-NEW - Total Funds,,7524427.83
CA-NEW - Active Ratio,20599 / 40710 = ,0.506
CA-RETAINED - No of Fundraisers (previous campaign),,70809
CA-RETAINED - Total Retained from Previous into Current,,18009
CA-RETAINED - No of Active Fundraisers,,12918
CA-RETAINED - APAM (Active),8106750.81 / 12918 = ,627.55
CA-RETAINED - Total Funds,,8106750.81
CA-RETAINED - Retained Ratio,18009 / 70809 = ,0.2543
CA-RETAINED - Active Ratio,12918 / 18009 = ,0.7173
CA-RETAINED - Total No of Fundraisers (current campaign),,67874
CA-RETURNING - No of Returning Frs before previous campaign,,9155
CA-RETURNING - No of Active Fundraisers,,5312
CA-RETURNING - APAM (Active),2266141.33 / 5312 = ,426.61
CA-RETURNING - Total Funds,,2266141.33
CA-RETURNING - Active Ratio,5312 / 9155 = ,0.5802
CA-TOTAL INDIVIDUALS - Total Number of Fundraisers,,67874
CA-TOTAL INDIVIDUALS - Total Active Fundraisers,,38829
CA-TOTAL INDIVIDUALS - Total Funds Raised,,17897319.97
CA-TEAM - No of Teams,,4718
CA-TEAM - ATDD,3147144.12 / 4718 = ,667.05
CA-TEAM - Total Funds,,3147144.12
CA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,67874
CA-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,38829
CA-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,4718
CA-TOTAL PEER 2 PEER - Total Number of Active Entities,,43547
CA-TOTAL PEER 2 PEER - Total Funds Raised,,22483688.5
GB-FOUNDATION & RG - No of Donations,,10727
GB-FOUNDATION & RG - ADA,836464.61 / 10727 = ,77.98
GB-FOUNDATION & RG - Total Funds,,836464.61
GB-NEW - No of New Fundraisers (previous campaign),,85711
GB-NEW - No of Active Fundraisers,,44897
GB-NEW - APAM (Active),44897 / 8188494.14 = ,182.38
GB-NEW - Total Funds,,8188494.14
GB-NEW - Active Ratio,44897 / 85711 = ,0.5238
GB-RETAINED - No of Fundraisers (previous campaign),,82097
GB-RETAINED - Total Retained from Previous into Current,,15217
GB-RETAINED - No of Active Fundraisers,,10096
GB-RETAINED - APAM (Active),2260320.26 / 10096 = ,223.88
GB-RETAINED - Total Funds,,2260320.26
GB-RETAINED - Retained Ratio,15217 / 82097 = ,0.1854
GB-RETAINED - Active Ratio,10096 / 15217 = ,0.6635
GB-RETAINED - Total No of Fundraisers (current campaign),,110890
GB-RETURNING - No of Returning Frs before previous campaign,,9962
GB-RETURNING - No of Active Fundraisers,,5891
GB-RETURNING - APAM (Active),1257609.8 / 5891 = ,213.48
GB-RETURNING - Total Funds,,1257609.8
GB-RETURNING - Active Ratio,5891 / 9962 = ,0.5913
GB-TOTAL INDIVIDUALS - Total Number of Fundraisers,,110890
GB-TOTAL INDIVIDUALS - Total Active Fundraisers,,60884
GB-TOTAL INDIVIDUALS - Total Funds Raised,,11706424.2
GB-TEAM - No of Teams,,6528
GB-TEAM - ATDD,1998439.14 / 6528 = ,306.13
GB-TEAM - Total Funds,,1998439.14
GB-TOTAL PEER 2 PEER - Total Number of Fundraisers,,110890
GB-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,60884
GB-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,6528
GB-TOTAL PEER 2 PEER - Total Number of Active Entities,,67412
GB-TOTAL PEER 2 PEER - Total Funds Raised,,14541327.95
US-FOUNDATION & RG - No of Donations,,7876
US-FOUNDATION & RG - ADA,1072559.39 / 7876 = ,136.18
US-FOUNDATION & RG - Total Funds,,1072559.39
US-NEW - No of New Fundraisers (previous campaign),,36268
US-NEW - No of Active Fundraisers,,10139
US-NEW - APAM (Active),10139 / 2778436.25 = ,274.03
US-NEW - Total Funds,,2778436.25
US-NEW - Active Ratio,10139 / 36268 = ,0.2796
US-RETAINED - No of Fundraisers (previous campaign),,77998
US-RETAINED - Total Retained from Previous into Current,,13200
US-RETAINED - No of Active Fundraisers,,7561
US-RETAINED - APAM (Active),5353156.61 / 7561 = ,708.0
US-RETAINED - Total Funds,,5353156.61
US-RETAINED - Retained Ratio,13200 / 77998 = ,0.1692
US-RETAINED - Active Ratio,7561 / 13200 = ,0.5728
US-RETAINED - Total No of Fundraisers (current campaign),,55056
US-RETURNING - No of Returning Frs before previous campaign,,5588
US-RETURNING - No of Active Fundraisers,,2120
US-RETURNING - APAM (Active),910084.31 / 2120 = ,429.29
US-RETURNING - Total Funds,,910084.31
US-RETURNING - Active Ratio,2120 / 5588 = ,0.3794
US-TOTAL INDIVIDUALS - Total Number of Fundraisers,,55056
US-TOTAL INDIVIDUALS - Total Active Fundraisers,,19820
US-TOTAL INDIVIDUALS - Total Funds Raised,,9041677.17
US-TEAM - No of Teams,,2890
