finance_measure,formula,result
AU-FOUNDATION & RG - No of Donations,,3611
AU-FOUNDATION & RG - ADA,647420.27 / 3611 = ,179.29
AU-FOUNDATION & RG - Total Funds,,647420.27
AU-NEW - No of New Fundraisers (previous campaign),,57586
AU-NEW - No of Active Fundraisers,,42966
AU-NEW - APAM (Active),42966 / 13529130.35 = ,314.88
AU-NEW - Total Funds,,13529130.35
AU-NEW - Active Ratio,42966 / 57586 = ,0.7461
AU-RETAINED - No of Fundraisers (previous campaign),,73582
AU-RETAINED - Total Retained from Previous into Current,,16560
AU-RETAINED - No of Active Fundraisers,,13805
AU-RETAINED - APAM (Active),6664289.96 / 13805 = ,482.74
AU-RETAINED - Total Funds,,6664289.96
AU-RETAINED - Retained Ratio,16560 / 73582 = ,0.2251
AU-RETAINED - Active Ratio,13805 / 16560 = ,0.8336
AU-RETAINED - Total No of Fundraisers (current campaign),,85409
AU-RETURNING - No of Returning Frs before previous campaign,,11263
AU-RETURNING - No of Active Fundraisers,,8407
AU-RETURNING - APAM (Active),3135288.81 / 8407 = ,372.94
AU-RETURNING - Total Funds,,3135288.81
AU-RETURNING - Active Ratio,8407 / 11263 = ,0.7464
AU-TOTAL INDIVIDUALS - Total Number of Fundraisers,,85409
AU-TOTAL INDIVIDUALS - Total Active Fundraisers,,65178
AU-TOTAL INDIVIDUALS - Total Funds Raised,,23328709.12
AU-TEAM - No of Teams,,4644
AU-TEAM - ATDD,1299611.94 / 4644 = ,279.85
AU-TEAM - Total Funds,,1299611.94
AU-TOTAL PEER 2 PEER - Total Number of Fundraisers,,85409
AU-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,65178
AU-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,4644
AU-TOTAL PEER 2 PEER - Total Number of Active Entities,,69822
AU-TOTAL PEER 2 PEER - Total Funds Raised,,25275741.33
CA-FOUNDATION & RG - No of Donations,,4931
CA-FOUNDATION & RG - ADA,881157.84 / 4931 = ,178.7
CA-FOUNDATION & RG - Total Funds,,881157.84
CA-NEW - No of New Fundraisers (previous campaign),,32292
CA-NEW - No of Active Fundraisers,,20661
CA-NEW - APAM (Active),20661 / 5738128.48 = ,277.73
CA-NEW - Total Funds,,5738128.48
CA-NEW - Active Ratio,20661 / 32292 = ,0.6398
CA-RETAINED - No of Fundraisers (previous campaign),,56075
CA-RETAINED - Total Retained from Previous into Current,,15185
CA-RETAINED - No of Active Fundraisers,,12451
CA-RETAINED - APAM (Active),6881138.73 / 12451 = ,552.66
CA-RETAINED - Total Funds,,6881138.73
CA-RETAINED - Retained Ratio,15185 / 56075 = ,0.2708
CA-RETAINED - Active Ratio,12451 / 15185 = ,0.82
CA-RETAINED - Total No of Fundraisers (current campaign),,56396
CA-RETURNING - No of Returning Frs before previous campaign,,8919
CA-RETURNING - No of Active Fundraisers,,5798
CA-RETURNING - APAM (Active),2046100.21 / 5798 = ,352.9
CA-RETURNING - Total Funds,,2046100.21
CA-RETURNING - Active Ratio,5798 / 8919 = ,0.6501
